Laparoscopic Images,,,,,,Annontated Images,,,,,
Deep Infiltrating  Endometriosis,,,,,,Deep Infiltrating  Endometriosis,,,,,
Images,Pixel Values,K value,Sampling,,,Images,Pixel Values,K value,Sampling,,
Image1,0.147907233,3,0.443721699,Systematic Sampling,,Image1,0.275353277,3,0.826059831,Systematic Sampling,
Image2,0.855614442,1,0.855614442,N,55,Image2,0.700280397,1,0.700280397,N,59
Image3,0.712831142,2,1.425662283,n,18,Image3,0.552824929,2,1.105649859,n,20
Image4,0.120186844,3,0.360560531,k,3,Image4,0.694373985,3,2.083121955,k,3
Image5,0.082834893,1,0.082834893,,,Image5,0.42172831,1,0.42172831,,
Image6,0.724457021,2,1.448914043,,,Image6,0.588177769,2,1.176355538,,
Image7,0.003475575,3,0.010426725,,,Image7,0.464069933,3,1.392209798,,
Image8,0.916963094,1,0.916963094,,,Image8,0.582816392,1,0.582816392,,
Image9,0.146911194,2,0.293822388,,,Image9,0.586801549,2,1.173603097,,
Image10,0.652148913,3,1.956446738,,,Image10,0.339658498,3,1.018975495,,
Image11,0.411742301,1,0.411742301,,,Image11,0.842272826,1,0.842272826,,
Image12,0.839793028,2,1.679586055,,,Image12,0.423354397,2,0.846708794,,
Image13,0.270097178,3,0.810291535,,,Image13,0.524569392,3,1.573708175,,
Image14,0.880662794,1,0.880662794,,,Image14,0.842637189,1,0.842637189,,
Image15,0.651844914,2,1.303689828,,,Image15,0.095867745,2,0.191735491,,
Image16,0.321302734,3,0.963908203,,,Image16,0.620658604,3,1.861975813,,
Image17,0.735856756,1,0.735856756,,,Image17,0.152529691,1,0.152529691,,
Image18,0.442584803,2,0.885169607,,,Image18,0.468264969,2,0.936529939,,
Image19,0.082834893,3,0.248504678,,,Image19,0.756190679,3,2.268572037,,
Image20,0.724457021,1,0.724457021,,,Image20,0.083254848,1,0.083254848,,
Image21,0.003475575,2,0.00695115,,,Image21,0.42172831,2,0.84345662,,
Image22,0.916963094,3,2.750889282,,,Image22,0.588177769,3,1.764533308,,
Image23,0.146911194,1,0.146911194,,,Image23,0.464069933,1,0.464069933,,
Image24,0.652148913,2,1.304297825,,,Image24,0.582816392,2,1.165632784,,
Image25,0.411742301,3,1.235226902,,,Image25,0.586801549,3,1.760404646,,
Image26,0.839793028,1,0.839793028,,,Image26,0.339658498,1,0.339658498,,
Image27,0.270097178,2,0.540194357,,,Image27,0.842272826,2,1.684545652,,
Image28,0.880662794,3,2.641988382,,,Image28,0.423354397,3,1.270063191,,
Image29,0.651844914,1,0.651844914,,,Image29,0.524569392,1,0.524569392,,
Image30,0.321302734,2,0.642605468,,,Image30,0.842637189,2,1.685274378,,
Image31,0.735856756,3,2.207570268,,,Image31,0.095867745,3,0.287603236,,
Image32,0.442584803,1,0.442584803,,,Image32,0.620658604,1,0.620658604,,
Image33,0.916963094,2,1.833926188,,,Image33,0.152529691,2,0.305059383,,
Image34,0.146911194,3,0.440733581,,,Image34,0.468264969,3,1.404794908,,
Image35,0.652148913,1,0.652148913,,,Image35,0.756190679,1,0.756190679,,
Image36,0.411742301,2,0.823484601,,,Image36,0.083254848,2,0.166509696,,
Image37,0.839793028,3,2.519379083,,,Image37,0.700280397,3,2.10084119,,
Image38,0.270097178,1,0.270097178,,,Image38,0.552824929,1,0.552824929,,
Image39,0.880662794,2,1.761325588,,,Image39,0.694373985,2,1.38874797,,
Image40,0.724457021,3,2.173371064,,,Image40,0.42172831,3,1.26518493,,
Image41,0.003475575,1,0.003475575,,,Image41,0.588177769,1,0.588177769,,
Image42,0.916963094,2,1.833926188,,,Image42,0.464069933,2,0.928139865,,
Image43,0.146911194,3,0.440733581,,,Image43,0.582816392,3,1.748449175,,
Image44,0.652148913,1,0.652148913,,,Image44,0.586801549,1,0.586801549,,
Image45,0.411742301,2,0.823484601,,,Image45,0.339658498,2,0.679316997,,
Image46,0.839793028,3,2.519379083,,,Image46,0.842272826,3,2.526818478,,
Image47,0.270097178,1,0.270097178,,,Image47,0.423354397,1,0.423354397,,
Image48,0.880662794,2,1.761325588,,,Image48,0.524569392,2,1.049138784,,
Image49,0.651844914,3,1.955534742,,,Image49,0.700280397,3,2.10084119,,
Image50,0.321302734,1,0.321302734,,,Image50,0.552824929,1,0.552824929,,
Image51,0.735856756,2,1.471713512,,,Image51,0.694373985,2,1.38874797,,
Image52,0.442584803,3,1.32775441,,,Image52,0.42172831,3,1.26518493,,
Image53,0.270097178,1,0.270097178,,,Image53,0.588177769,1,0.588177769,,
Image54,0.880662794,2,1.761325588,,,Image54,0.464069933,2,0.928139865,,
Image55,0.651844914,3,1.955534742,,,Image55,0.582816392,3,1.748449175,,
,,Mean,0.859,,,Image56,0.586801549,1,0.586801549,,
,,Standard Deviation,0.054,,,Image57,0.339658498,2,0.679316997,,
,,,,,,Image58,0.842272826,3,2.526818478,,
,,,,,,Image59,0.423354397,1,0.423354397,,
,,,,,,,,Mean,1.004,,
,,,,,,,,Standard Deviation,0.0606,,
