Laparoscopic Images,,,,,,Annontated Images,,,,,
Endo-Uterus,,,,,,Endo-Uterus,,,,,
Images,Pixel Values,K value,Sampling,,,Images,Pixel Values,K value,Sampling,,
Image1,0.689165304,2,1.378330608,Systematic Sampling,,Image1 ,0.336486875,2,0.672973751,Systematic Sampling,
Image2,0.49807841,1,0.49807841,N,17,Image2,0.182435536,3,0.547306608,N,25
Image3,0.468950935,2,0.93790187, n,8,Image3,0.054472104,1,0.054472104,n,12
Image4,0.122368074,1,0.122368074,k,2.125,Image4,0.597708052,2,1.195416105,k,2.083333333
Image5,0.14525126,2,0.29050252,Starting point,2,Image5,0.101291884,3,0.303875652,starting point,2
Image6,0.446654864,1,0.446654864,,,Image6,0.117779263,1,0.117779263,,
Image7,0.217989156,2,0.435978313,,,Image7,0.955891451,2,1.911782902,,
Image8,0.368178493,1,0.368178493,,,Image8,0.056047485,3,0.168142454,,
Image9,0.840631134,2,1.681262268,,,Image9,0.70407337,1,0.70407337,,
Image10,0.585958707,1,0.585958707,,,Image10,0.06646631,2,0.132932619,,
Image11,0.264960881,2,0.529921762,,,Image11,0.167845833,3,0.503537498,,
Image12,0.967886857,1,0.967886857,,,Image12,0.491700385,1,0.491700385,,
Image13,0.750821994,2,1.501643987,,,Image13,0.78752367,2,1.57504734,,
Image14,0.209632631,1,0.209632631,,,Image14,0.359361815,3,1.078085446,,
Image15,0.942649468,2,1.885298937,,,Image15,0.573013084,1,0.573013084,,
Image16,0.983372059,1,0.983372059,,,Image16,0.396681313,2,0.793362626,,
Image17,0.264960881,2,0.597615601,,,Image17,0.816436429,3,2.449309288,,
,,Mean,0.559749144,,,Image18,0.334569013,1,0.334569013,,
,,Standard Deviation,0.404524972,,,Image19,0.930117115,2,1.86023423,,
,,,,,,Image20,0.519645568,3,1.558936703,,
,,,,,,Image21,0.356550697,1,0.356550697,,
,,,,,,Image22,0.628476696,2,1.256953393,,
,,,,,,Image23,0.134432569,3,0.403297708,,
,,,,,,Image24,0.781384619,1,0.781384619,,
,,,,,,Image25,0.441672965,2,0.883345931,,
,,,,,, ,,,,,
,,,,,,,,Mean,0.566999393,,
,,,,,,,,Standard Deviation,0.053297391,,
